Tournament,slug,startDate,endDate,entrants
pound-2016,2016-04-02,2016-04-03,112
eclipse-2,2016-10-20,2016-10-22,57
pax-arena,2016-01-29,2016-01-31,11
canada-cup-2016,2016-10-28,2016-10-30,50
2ggc-genesis-saga-1,2017-01-14,2017-01-15,93
don-t-park-on-the-grass,2016-12-17,2016-12-19,50
wtfox-2,2016-07-02,2016-07-04,45
ugc-smash-open,2016-12-02,2016-12-05,63
low-tier-city-4,2016-06-18,2016-06-20,82
clutch-city-clash-powered-by-xyience,2016-08-06,2016-08-08,52
syndicate-2016,2016-09-10,2016-09-11,108
the-big-house-6,2016-10-07,2016-10-09,195
ceo-2016,2016-06-24,2016-06-27,183
beast-6,2016-02-18,2016-02-21,83
get-on-my-level-2016-good-game-con-ft-hbox-2,2016-05-20,2016-05-22,106
smash-n-splash-2-1,2016-06-11,2016-06-12,69
super-smash-con-2016,2016-08-11,2016-08-14,286
g3,2016-01-15,2016-01-18,272
g4,2017-01-20,2017-01-23,236
smash-conference-lxix-3,2017-01-07,2017-01-07,40
2ggt-zero-saga,2016-12-16,2016-12-19,105
showdown-battle-royale,2016-12-10,2016-12-11,35
ktar-xix,2016-11-19,2016-11-19,121
mm6,2017-01-07,2017-01-08,77
shine-2016,2016-08-26,2016-08-28,116
